ACCE_ABSORB_COST	Aufnahmepreis: %d
STAT_TOOLTIP_SPECIAL_ACTION	Spezielle Aktionen
STAT_TOOLTIP_SSTR	Du erhältst auf Yohara weniger Schadensabzug auf deine Angriffe.
STAT_TOOLTIP_STAT	Werte
STAT_TOOLTIP_STR	Erhöht Angriffswert und Schaden
STAT_TOOLTIP_SUNGMA_HP	Ändert TP abhängig von SungMa-Wille (VIT) des Gegners und der Map
STAT_TOOLTIP_SUNGMA_IMMUNE	Ändert Anfälligkeit für Statuseffekte abhängig von SungMa-Wille (INT) des Gegners und der Map
STAT_TOOLTIP_SUNGMA_MOVE	Ändert Bewegungsgeschwindigkeit abhängig von SungMa-Wille (RES) des Gegners und der Map
STAT_TOOLTIP_SUNGMA_STR	Ändert Angriff abhängig von SungMa-Wille (STR) des Gegners und der Map
STAT_TOOLTIP_SUPPORT_SKILL	Sekundäre Skills
STAT_TOOLTIP_TAB_CHARACTER	Charakter
STAT_TOOLTIP_TAB_EMOTICON	Emotionen
STAT_TOOLTIP_TAB_QUEST	Quests
STAT_TOOLTIP_TAB_SKILL	Skills
SUNGMAHEE_TOWER_ENTER_FAIL_FLOOR	Du musst erst die Ebene darunter abschließen.
SUNGMAHEE_TOWER_ENTER_RESULT_FAIL_MOUNT	Du kannst nicht eintreten, solange du reitest.
SUNGMAHEE_TOWER_ENTER_RESULT_FAIL_NOT_ENOUGH_CONQUEROR_LEVEL	Du musst ein Championlevel erreicht haben, um eintreten zu können.
SUNGMAHEE_TOWER_ENTER_RESULT_FAIL_NOT_ENOUGH_ITEM	Du brauchst ein Schädelbanner, um eintreten zu können.
SUNGMAHEE_TOWER_ENTER_RESULT_FAIL_PARTY	Du kannst Sung Mahis Höllenturm nicht in einer Gruppe betreten.
SUNGMAHEE_TOWER_ENTER_RESULT_FAIL_POLYMORPH	Du kannst nicht eintreten, solange du verwandelt bist.
SUNGMAHEE_TOWER_FLOOR_TEXT	Ebene {0}
SUNGMAHEE_TOWER_MY_RANK_TEXT	Rang {0}
SYMBOLLIST_TITLE	Gildenfahne anmelden
TARGET_BUTTON_ACCEPT_FIGHT	Zustimmen
TARGET_BUTTON_AVENGE	Rache
TARGET_BUTTON_BLOCK	Blockieren
TARGET_BUTTON_BLOCK_REMOVE	Entsperren
TARGET_BUTTON_BUILDING_DESTROY	Zerstören
TARGET_BUTTON_DISMOUNT	Absitzen
TARGET_BUTTON_EMOTION_ALLOW	Emotionen
TARGET_BUTTON_EXCHANGE	Handeln
TARGET_BUTTON_EXCLUDE	Ausschließen
TARGET_BUTTON_EXIT_OBSERVER	Zuschauermodus beenden
TARGET_BUTTON_FIGHT	Duell
TARGET_BUTTON_FRIEND	Freund
TARGET_BUTTON_INVITE_GUILD	Gildeneinlad.
TARGET_BUTTON_INVITE_PARTY	Gruppeneinlad.
TARGET_BUTTON_LEAVE_PARTY	Gruppe verlassen
TARGET_BUTTON_REQUEST_ENTER_PARTY	Gruppe beitreten
TARGET_BUTTON_REVIVE	Wiederbeleben
TARGET_BUTTON_VIEW_EQUIPMENT	Ausrüstung
TARGET_BUTTON_WHISPER	Flüstern
TARGET_LEVEL_BOSS	Boss
TARGET_LEVEL_KING	Stufe 5.
TARGET_LEVEL_KNIGHT	Stufe 3.
TARGET_LEVEL_PAWN	Stufe 1.
TARGET_LEVEL_S_KNIGHT	Stufe 4.
TARGET_LEVEL_S_PAWN	Stufe 2.
TARGET_TOOLTIP_ATTACK_COUNT	Gesamtpunkte: %d
TASKBAR_ATTACK	Angreifen
TASKBAR_AUTO	Automatisch angreifen
TASKBAR_CAMERA	Kamera
TASKBAR_EXP	Erfahrung
TASKBAR_HP	TP
TASKBAR_MOVE	Bewegen
TASKBAR_SKILL	Fertigkeit
TASKBAR_SP	MP
TASKBAR_ST	AP
TENTH_COIN	Jubiläumsmünze(n)
TENTH_EVENT_ASK_EXCHANGE	Du benötigst %d Jubiläumsflaggen. Möchtest du fortfahren?
THING_COUNT	alle
TIGER_COIN_ITEM_USE_QUESTION	Du tauschst deinen Gutschein gegen Tigermünzen. Möchtest du fortfahren?
TOOLTIP_AFFECT_ATT_GRADE_DOWN	Schaden verringern	SNA
TOOLTIP_AFFECT_CHEONUN	Ätherschild	SNA
TOOLTIP_AFFECT_CONFUSION	Du wurdest betäubt.
TOOLTIP_AFFECT_CRITICAL_GRADE_DOWN	Chance auf kritischen Treffer verringern	SNA
TOOLTIP_AFFECT_CZ_UNLIMIT_ENTER	Signum der Wächter	SNA
TOOLTIP_AFFECT_DEFENSEWAVE_LASER	Der Hydrostrahl konnte nicht unterbrochen werden.
TOOLTIP_AFFECT_DEF_GRADE_DOWN	Verteidigung verringern	SNA
TOOLTIP_AFFECT_ELECTRIC_SHOCK	Blitz
TOOLTIP_AFFECT_FISHING_GOLD_TUNA	Goldener Thunfisch-Bonus	SNA
TOOLTIP_AFFECT_FISHING_MOVE_SPEED_DOWN	Nasse Kleidung\nBewegungsgeschwindigkeit -50	SNA
TOOLTIP_AFFECT_FLAG_CANNOT_ATTACK	Normale Angriffe sind gesperrt
TOOLTIP_AFFECT_FLAG_CANNOT_USE_SKILL	Fertigkeiten sind gesperrt
TOOLTIP_AFFECT_GARRISON_BUFF	Immunität gegen Sung Mahis Einfluss	SNA
TOOLTIP_AFFECT_GARRISON_DEBUFF	Sung Mahis Einfluss	SNA
TOOLTIP_AFFECT_LATE_SUMMER_EVENT_BUFF	Seelen (%d/20)	SA
TOOLTIP_AFFECT_LATE_SUMMER_EVENT_PRIMIUM_BUFF	Kostbare Seelen (%d/150)	SA
TOOLTIP_AFFECT_MI_BUFF	Besetzungs-Buff \n%s
TOOLTIP_AFFECT_MOUNT_FALL	Sturz vom Reittier	SNA
TOOLTIP_AFFECT_POLYMORPH	Verwandlung	SNA
TOOLTIP_AFFECT_RCAST_SPEED	Abklingzeit erhöhen	SNA
TOOLTIP_AFFECT_RED_DRAGONLAIR_BUFF	Widerstand gegen Fertigkeitsschaden +15% | Widerstand gegen normalen Angriffsschaden +15%
TOOLTIP_AFFECT_RESEARCHER_ELIXIR	Elixier des Forschers	SNA
TOOLTIP_AFFECT_RHP_REGEN	Erholen nicht möglich	SNA
TOOLTIP_AFFECT_SAFEBOX_BUFF_01	Lager-Bonus\n +3% EXP	SNA
TOOLTIP_AFFECT_SAFEBOX_BUFF_02	Lager-Bonus\n+20 Verteidigung 	SNA
TOOLTIP_AFFECT_SAFEBOX_BUFF_03	Lager-Bonus\n+1% Trefferpunkte	SNA
TOOLTIP_AFFECT_SAFEBOX_BUFF_04	Lager-Bonus\n+3% Stark gegen Monster	SNA
TOOLTIP_AFFECT_SET_ITEM_1	Heiliger Set-Bonus 	SNA
TOOLTIP_AFFECT_SET_ITEM_2	Prächtiger Set-Bonus 	SNA
TOOLTIP_AFFECT_SET_ITEM_3	Ritterlicher Set-Bonus 	SNA
TOOLTIP_AFFECT_SET_ITEM_4	Fürstlicher Set-Bonus 	SNA
TOOLTIP_AFFECT_SET_ITEM_5	Majestätischer Set-Bonus 	SNA
TOOLTIP_AFFECT_SUNGMAHEE_TOWER_CURSE	Sung Mahis Fluch (%d-mal gestapelt). Deine HP sinken pro Stapel und 10 Sekunden um 10%%. Kann bis zu 10-mal gestapelt werden.	SA
TOOLTIP_AFFECT_SUNGMA_DESC	Sung Mahis Wille erfüllt diesen Ort.
TOOLTIP_AFFECT_SUNGMA_HP	SungMa-Wille (VIT): %d
TOOLTIP_AFFECT_SUNGMA_IMMUNE	SungMa-Wille (INT): %d
TOOLTIP_AFFECT_SUNGMA_MOVE	SungMa-Wille (RES): %d
TOOLTIP_AFFECT_SUNGMA_STR	SungMa-Wille (STR): %d
TOOLTIP_AFFECT_WORLD_BOSS_DAILY_REWARD	Täglicher Questbonus des Weltboss-Events\n Angriffswert +%d%%	SA
TOOLTIP_AFFECT_WORLD_BOSS_REWARD	Rangbonus des Weltboss-Events\n Itemdrop +%d	SA
TOOLTIP_ALIGNMENT_DAMAGE_BONUS	Bei niedrigen Rangpunkten wird verursachter Schaden erhöht.	SNA
TOOLTIP_ANTI_CRITICAL_PCT	Widerstand gegen kritischen Treffer +%d%%	SA
TOOLTIP_ANTI_PENETRATE_PCT	Widerstand gegen durchbohrenden Treffer +%d%%	SA
TOOLTIP_ANTI_SELL	Kann nicht im Geschäft verkauft werden.
TOOLTIP_APPLY_ACCEDRAIN_RATE	Aufnahmerate: %d%%	SA
TOOLTIP_APPLY_ATTBONUS_ANIMAL	Stark gegen Tiere +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ASSASSIN	Stark gegen Ninja +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_BELL	Bruch von Glockenverteidigung +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_BOW	Bruch von Pfeilverteidigung +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_CLAW	Bruch von Krallenverteidigung +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_CZ	Stark gegen Zodiakmonster +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DAGGER	Bruch von Dolchverteidigung +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DESERT	Stark gegen Wüstenmonster +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DEVIL	Stark gegen Teufel +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_FAN	Bruch von Fächerverteidigung +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_HUMAN	Stark gegen Halbmenschen +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_INSECT	Stark gegen Insekten +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MILGYO	Stark gegen Esoterische +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MONSTER	Stark gegen Monster +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ORC	Stark gegen Orks +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SHAMAN	Stark gegen Schamanen +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SURA	Stark gegen Sura +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SWORD	Bruch von Schwertverteidigung +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_TWOHAND	Bruch von Zweihandverteidigung +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_UNDEAD	Stark gegen Untote +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_WARRIOR	Stark gegen Krieger +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_WOLFMAN	Stark gegen Lykaner + %d%%	SA
TOOLTIP_APPLY_BLEEDING_PCT	Blutungsangriff + %d%%	SA
TOOLTIP_APPLY_BLEEDING_REDUCE	Widerstand gegen Blutungsangriff + %d%%	SA
TOOLTIP_APPLY_BLOCK	Chance, Nahkampfangriff abzublocken %d%%	SA
TOOLTIP_APPLY_COMBAT_SP_RECOVER	MP im Kampf alle 5 Sek. wiederherstellen %d	SA
TOOLTIP_APPLY_CRITICAL_PCT	Chance auf krit. Treffer +%d%%	SA
TOOLTIP_APPLY_DAMAGE_SP_RECOVER	%d%% Chance, MP bei Treffer zurückzuerhalten	SA
TOOLTIP_APPLY_DODGE	%d%% Chance, Pfeilangriff auszuweichen	SA
TOOLTIP_APPLY_ENCHANT_DARK	Kraft der Dunkelheit +%d%%	SA
TOOLTIP_APPLY_ENCHANT_DARK2	Kraft der Dunkelheit +%d%% ~ +%d%%
TOOLTIP_APPLY_ENCHANT_EARTH	Kraft der Erde +%d%%	SA
TOOLTIP_APPLY_ENCHANT_EARTH2	Kraft der Erde +%d%% ~ +%d%%
TOOLTIP_APPLY_ENCHANT_ELECT	Kraft der Blitze +%d%%	SA
TOOLTIP_APPLY_ENCHANT_ELECT2	Kraft der Blitze +%d%% ~ +%d%%
TOOLTIP_APPLY_ENCHANT_FIRE	Kraft des Feuers +%d%%	SA
TOOLTIP_APPLY_ENCHANT_FIRE2	Kraft des Feuers +%d%% ~ +%d%%
TOOLTIP_APPLY_ENCHANT_ICE	Kraft des Eises +%d%%	SA
TOOLTIP_APPLY_ENCHANT_ICE2	Kraft des Eises +%d%% ~ +%d%%
TOOLTIP_APPLY_ENCHANT_WIND	Kraft des Windes +%d%%	SA
TOOLTIP_APPLY_ENCHANT_WIND2	Kraft des Windes +%d%% ~ +%d%%
TOOLTIP_APPLY_EXP_DOUBLE_BONUS	%d%% Chance auf EXP-Bonus	SA
TOOLTIP_APPLY_GOLD_DOUBLE_BONUS	%d%% Chance, eine doppelte Menge Yang fallen zu lassen.	SA
TOOLTIP_APPLY_IMMUNE_BLEEDING100	Immun gegen Blutung	SNA
TOOLTIP_APPLY_IMMUNE_FALL	Immun gegen Stürzen	SNA
TOOLTIP_APPLY_IMMUNE_POISON100	Immun gegen Gift	SNA
TOOLTIP_APPLY_IMMUNE_SLOW	Abwehr gegen Verlangsamen	SNA
TOOLTIP_APPLY_IMMUNE_STUN	Abwehr gegen Ohnmacht	SNA
TOOLTIP_APPLY_ITEM_DROP_BONUS	%d%% Chance, eine doppelte Menge von Gegenständen fallen zu lassen.	SA
TOOLTIP_APPLY_KILL_HP_RECOVER	%d%% Chance, TP wiederherzustellen	SA
TOOLTIP_APPLY_KILL_SP_RECOVER	%d%% Chance, MP wiederherzustellen	SA
TOOLTIP_APPLY_MANA_BURN_PCT	%d%% Chance auf Manaraub	SA
TOOLTIP_APPLY_MAX_HP_PCT	Max. TP +%d%%	SA
TOOLTIP_APPLY_MAX_SP_PCT	Max. MP +%d%%	SA
TOOLTIP_APPLY_NOAFFECT	Keine Auswirkung
TOOLTIP_APPLY_NO_DEATH_PENALTY	Bei Wiederbelebung des Charakters am Ort des Todes werden keine Erfahrungspunkte abgezogen.	SNA
TOOLTIP_APPLY_NO_DEATH_PENALTY_PLUS	Der Drachengott hält seine schützenden Schwingen über dich. Wenn du an Bord wiederbelebt wirst, verlierst du keine Erfahrungspunkte.	SNA
TOOLTIP_APPLY_PENETRATE_PCT	%d%% Chance auf durchbohrenden Treffer	SA
TOOLTIP_APPLY_POISON_PCT	Vergiftungschance %d%%	SA
TOOLTIP_APPLY_POISON_REDUCE	Giftwiderstand %d%%	SA
TOOLTIP_APPLY_POTION_BONUS	Trank %d%% Effektzuwachs	SA
TOOLTIP_APPLY_REFLECT_CURSE	%d%% Chance, Fluch zu reflektieren	SA
TOOLTIP_APPLY_REFLECT_MELEE	%d%% Chance, Nahkampftreffer zu reflektieren	SA
TOOLTIP_APPLY_RESIST_ASSASSIN	Abwehrchance gegen Ninjaangriffe %d%%	SA
TOOLTIP_APPLY_RESIST_BELL	Glockenverteidigung %d%%	SA
TOOLTIP_APPLY_RESIST_CLAW	Krallenverteidigung + %d%%	SA
TOOLTIP_APPLY_RESIST_DAGGER	Dolchverteidigung %d%%	SA
TOOLTIP_APPLY_RESIST_FAN	Fächerverteidigung %d%%	SA
TOOLTIP_APPLY_RESIST_HUMAN	Widerstand gegen Halbmenschen %d%%	SA
TOOLTIP_APPLY_RESIST_MOUNT_FALL	Widerstand gegen Sturz +%d%%	SA
TOOLTIP_APPLY_RESIST_SHAMAN	Abwehrchance gegen Schamanenangriffe %d%%	SA
TOOLTIP_APPLY_RESIST_SURA	Abwehrchance gegen Suraangriffe %d%%	SA
TOOLTIP_APPLY_RESIST_SWORD	Schwertverteidigung %d%%	SA
TOOLTIP_APPLY_RESIST_TWOHAND	Zweihänderverteidigung %d%%	SA
TOOLTIP_APPLY_RESIST_WARRIOR	Abwehrchance gegen Kriegerangriffe %d%%	SA
TOOLTIP_APPLY_RESIST_WIND	Windwiderstand %d%%	SA
TOOLTIP_APPLY_RESIST_WOLFMAN	Abwehrchance gegen Lykaner %d%%	SA
TOOLTIP_APPLY_SKILL_BOOK_BONUS	Chance, aus Büchern zu lernen um Faktor 2,5 verbessert	SNA
TOOLTIP_APPLY_SKILL_BOOK_NO_DELAY	Wenn das Lernen fehlschlägt, hast du sofort einen weiteren Versuch frei.	SNA
TOOLTIP_APPLY_SLOW_PCT	Verlangsamungschance %d%%	SA
TOOLTIP_APPLY_STEAL_HP	%d%% Schaden wird von TP absorbiert	SA
TOOLTIP_APPLY_STEAL_SP	%d%% Schaden wird von MP absorbiert	SA
TOOLTIP_APPLY_STUN_PCT	Ohnmachtschance %d%%	SA
TOOLTIP_ARMOR	Rüstung
TOOLTIP_ARROW	Pfeil
TOOLTIP_ASSASSIN	Ninja
TOOLTIP_ATTBONUS_PER_ANIMAL	Stark gegen Tiere (+%d%% d. Gesamtwerts)	SA
TOOLTIP_ATTBONUS_PER_CZ	Stark gegen Zodiakmonster (+%d%% d. Gesamtwerts)	SA
TOOLTIP_ATTBONUS_PER_DESERT	Stark gegen Wüstenmonster (+%d%% d. Gesamtwerts)	SA
TOOLTIP_ATTBONUS_PER_DEVIL	Stark gegen Teufel (+%d%% d. Gesamtwerts)	SA
TOOLTIP_ATTBONUS_PER_HUMAN	Stark gegen Halbmenschen (+%d%% d. Gesamtwerts)	SA
TOOLTIP_ATTBONUS_PER_INSECT	Stark gegen Insekten (+%d%% d. Gesamtwerts)	SA
TOOLTIP_ATTBONUS_PER_MILGYO	Stark gegen Esoterische (+%d%% d. Gesamtwerts)	SA
TOOLTIP_ATTBONUS_PER_MONSTER	Stark gegen Monster (+%d%% d. Gesamtwerts)	SA
TOOLTIP_ATTBONUS_PER_ORC	Stark gegen Orks (+%d%% d. Gesamtwerts)	SA
TOOLTIP_ATTBONUS_PER_STONE	Stark gegen Metinsteine (+%d%% d. Gesamtwerts)	SA
TOOLTIP_ATTBONUS_PER_UNDEAD	Stark gegen Untote (+%d%% d. Gesamtwerts)	SA
TOOLTIP_ATTBONUS_STONE	+%d%% Stark gegen Metinsteine	SA
TOOLTIP_ATT_GRADE	Angriffswert +%d	SA
TOOLTIP_ATT_SPEED	Angriffsgeschwindigkeit +%d%%	SA
TOOLTIP_ATT_SPEED_SLOW	Angriffsgeschwindigkeit reduziert	SNA
TOOLTIP_AUTO_PICKUP	Du hast %d%% Chance, 30 Sekunden lang Items in deiner Nähe automatisch aufzusammeln	SA
TOOLTIP_AUTO_POTION_HP	Elixier der Sonne
TOOLTIP_AUTO_POTION_REST	Restmenge: %.2f%%
TOOLTIP_AUTO_POTION_SP	Elixier des Mondes
TOOLTIP_AUTO_POTION_USING	Aktiv
TOOLTIP_AUTO_SYSTEM_PRIMIUM	Autojagd	SNA
TOOLTIP_BATTLE_POTION	Kampfzonen-Gefechtstrank	SNA
TOOLTIP_BOW_DISTANCE	Bogenreichweite +%d m	SA
TOOLTIP_BUYPRICE	Preis: %s
TOOLTIP_CAST_SPEED	Zaubergeschwindigkeit +%d%%	SA
TOOLTIP_CON	Vitalität +%d	SA
TOOLTIP_COSTUME_ATTR_BONUS	Kostümbonus %d%%	SA
TOOLTIP_CURSE_OF_ELEMENTAL	Elementarfluch (%d-mal gestapelt). Deine HP sinken kontinuierlich. Kann bis zu 10-mal gestapelt werden.	SA
TOOLTIP_DAMAGE_HP_RECOVERY	Absorbiert Schaden zu %d%% als TP	SA
TOOLTIP_DAMAGE_SP_RECOVERY	Absorbiert Schaden zu %d%% als MP	SA
TOOLTIP_DEF_GRADE	Verteidigung +%d	SA
TOOLTIP_DEX	Beweglichkeit +%d	SA
TOOLTIP_DISMOUNT_MOVE_SPEED_BONUS_PER	Beim Absteigen vom Reittier wird die Bewegungsgeschwindigkeit 10 Sekunden lang um %d%% erhöht	SA
TOOLTIP_DRAGON_SOUL_DECK1	Himmel	SNA
TOOLTIP_DRAGON_SOUL_DECK2	Erde	SNA
TOOLTIP_DS_SET	DSS-Set-Effekt	SNA
TOOLTIP_EAR	Ohrring
TOOLTIP_ENCHANT_PER_DARK	Kraft der Dunkelheit (+%d%% d. Gesamtwerts)	SA
TOOLTIP_ENCHANT_PER_EARTH	Kraft der Erde (+%d%% d. Gesamtwerts)	SA
TOOLTIP_ENCHANT_PER_ELECT	Kraft der Blitze (+%d%% d. Gesamtwerts)	SA
TOOLTIP_ENCHANT_PER_FIRE	Kraft des Feuers (+%d%% d. Gesamtwerts)	SA
TOOLTIP_ENCHANT_PER_ICE	Kraft des Eises (+%d%% d. Gesamtwerts)	SA
TOOLTIP_ENCHANT_PER_WIND	Kraft des Windes (+%d%% d. Gesamtwerts)	SA
TOOLTIP_ENERGY	Energie %d	SA
TOOLTIP_ETC	Usw.
TOOLTIP_EXP_BONUS_EVENT	EXP +%d%%	SA
TOOLTIP_FIFTH_ATTRIBUTE_BONUS	5. hinzugefügter Bonus +%d%%	SA
TOOLTIP_FIRST_ATTRIBUTE_BONUS	1. hinzugefügter Bonus +%d%%	SA
TOOLTIP_FISHINGROD_EXP	Punkte: %d / %d
TOOLTIP_FISHINGROD_LEVEL	Level: %d
TOOLTIP_FISHINGROD_UPGRADE1	Dem Fischer geben,
TOOLTIP_FISHINGROD_UPGRADE2	um eine bessere
TOOLTIP_FISHINGROD_UPGRADE3	Angelrute zu erhalten.
TOOLTIP_FISH_LEN	Länge: %.2fcm
TOOLTIP_FLOWER_EVENT_SHOOT_ENVELOPE	Blumensamen
TOOLTIP_FOURTH_ATTRIBUTE_BONUS	4. hinzugefügter Bonus +%d%%	SA
TOOLTIP_GLOVE	Handschuhe
TOOLTIP_GUILD_SKILL_ACCEL	Beschleunigung +%d	SA
TOOLTIP_GUILD_SKILL_BLESS	Segnung des Drachengottes +%d	SA
TOOLTIP_GUILD_SKILL_BLOOD	Blut des Drachengottes +%d	SA
TOOLTIP_GUILD_SKILL_BUNNO	Wut des Drachengottes +%d%%	SA
TOOLTIP_GUILD_SKILL_JUMUN	Zauberhilfe +%d%%	SA
TOOLTIP_GUILD_SKILL_SEONGHWI	Heilige Rüstung +%d	SA
TOOLTIP_HALLOWEEN_EVENT_BUFF	+20% EXP | +5% Itemdrop | +10% Stark gegen Monster	SNA
TOOLTIP_HELMET	Helm
TOOLTIP_HIT_AUTO_HP_RECOVERY	Während des Kampfes erhältst du den Effekt des Elixiers der Sonne	SNA
TOOLTIP_HIT_AUTO_SP_RECOVERY	Während des Kampfes erhältst du den Effekt des Elixiers des Mondes	SNA
TOOLTIP_HIT_BUFF_ENCHANT_DARK	Erhalte Kraft d. Dunkelheit für %d Sek. im Kampf	SA
TOOLTIP_HIT_BUFF_ENCHANT_EARTH	Erhalte Kraft d. Erde für %d Sek. im Kampf	SA
TOOLTIP_HIT_BUFF_ENCHANT_ELEC	Erhalte Kraft d. Blitze für %d Sek. im Kampf	SA
TOOLTIP_HIT_BUFF_ENCHANT_FIRE	Erhalte Kraft d. Feuers für %d Sek. im Kampf	SA
TOOLTIP_HIT_BUFF_ENCHANT_ICE	Erhalte Kraft d. Eises für %d Sek. im Kampf	SA
TOOLTIP_HIT_BUFF_ENCHANT_WIND	Erhalte Kraft d. Windes für %d Sek. im Kampf	SA
TOOLTIP_HIT_BUFF_RESIST_DARK	Erhalte Widerstand vs Dunkelheit für %d Sek. im Kampf	SA
TOOLTIP_HIT_BUFF_RESIST_EARTH	Erhalte Erdwiderstand für %d Sek. im Kampf	SA
TOOLTIP_HIT_BUFF_RESIST_ELEC	Erhalte Blitzwiderstand für %d Sek. im Kampf	SA
TOOLTIP_HIT_BUFF_RESIST_FIRE	Erhalte Feuerwiderstand für %d Sek. im Kampf	SA
TOOLTIP_HIT_BUFF_RESIST_ICE	Erhalte Eiswiderstand für %d Sek. im Kampf	SA
TOOLTIP_HIT_BUFF_RESIST_WIND	Erhalte Windwiderstand für %d Sek. im Kampf	SA
TOOLTIP_HIT_BUFF_SUNGMA_HP	Erhöht den SungMa-Willen (VIT) im Kampf für %d Sekunden um 15	SA
TOOLTIP_HIT_BUFF_SUNGMA_IMMUNE	Erhöht den SungMa-Willen (INT) im Kampf für %d Sekunden um 15	SA
TOOLTIP_HIT_BUFF_SUNGMA_MOVE	Erhöht den SungMa-Willen (RES) im Kampf für %d Sekunden um 15	SA
TOOLTIP_HIT_BUFF_SUNGMA_STR	Erhöht den SungMa-Willen (STR) im Kampf für %d Sekunden um 15	SA
TOOLTIP_HIT_PCT	Präzision +%d	SA
TOOLTIP_HIT_STONE_ATTBONUS_STONE	Beim Angriff auf einen Metinstein erhältst du 5 Sekunden lang +%d%% Schaden (Stark gegen Metinsteine)	SA
TOOLTIP_HIT_STONE_DEF_GRADE_BONUS	Beim Angriff auf einen Metinstein erhältst du 5 Sekunden lang +%d Verteidigung	SA
TOOLTIP_HP_REGEN	TP-Regeneration +%d%%	SA
TOOLTIP_INSIGHT_SKILL_LEVEL	Aktuelles Level: %d
TOOLTIP_INT	Intelligenz +%d	SA
TOOLTIP_ITEM_ATT_GRADE	Angriffswert %d
TOOLTIP_ITEM_ATT_POWER	Angriffswert %d - %d
TOOLTIP_ITEM_ATT_POWER_ONE_ARG	Angriffswert %d
TOOLTIP_ITEM_ATT_POWER_REFINE	Angriffswert %d - %d (+%d)
TOOLTIP_ITEM_ATT_SPEED	Angriffsgeschwindigkeit %s
TOOLTIP_ITEM_DEF_GRADE	Verteidigung %d
TOOLTIP_ITEM_FAST	Schnell
TOOLTIP_ITEM_LIMIT_CON	Vitalitätsobergrenze: %d
TOOLTIP_ITEM_LIMIT_DEX	Beweglichkeitsobergrenze: %d
TOOLTIP_ITEM_LIMIT_INT	Intelligenzobergrenze: %d
TOOLTIP_ITEM_LIMIT_LEVEL	Ab Lvl: %d
TOOLTIP_ITEM_LIMIT_NEWWORLD_LEVEL	Minimales Championlevel: %d
TOOLTIP_ITEM_LIMIT_STR	Stärkeobergrenze: %d
TOOLTIP_ITEM_MAGIC_ATT_POWER	Magischer Angriffswert %d - %d
TOOLTIP_ITEM_MAGIC_ATT_POWER_ONE_ARG	Magischer Angriffswert %d
TOOLTIP_ITEM_MAGIC_DEF_POWER	Magische Verteidigung %d
TOOLTIP_ITEM_NORMAL	Normal
TOOLTIP_ITEM_SLOW	Langsam
TOOLTIP_ITEM_VERY_FAST	Sehr schnell
TOOLTIP_ITEM_VERY_SLOW	Sehr langsam
TOOLTIP_ITEM_WEARABLE_JOB	[Ausrüstbar]
TOOLTIP_KILL_BOSS_ITEM_BONUS	Wenn ein Boss besiegt wird, erhöht sich deine Dropchance um %d%%	SA
TOOLTIP_LOTTERY_STEP_NUMBER	%d
TOOLTIP_LOTTO_NUMBER	Glückszahl: %d
TOOLTIP_MAGIC_ATTBONUS_PER	Magischer Angriff +%d%%	SA
TOOLTIP_MAGIC_ATT_GRADE	Magischer Angriffswert +%d	SA
TOOLTIP_MAGIC_DEF_GRADE	Magische Verteidigung +%d	SA
TOOLTIP_MALL_ATTBONUS	Angriffswert +%d%%	SA
TOOLTIP_MALL_ATTBONUS_STATIC	Angriffswert	SNA
TOOLTIP_MALL_AUTOLOOT	Autom. wird das Yang aufgenommen.	SNA
TOOLTIP_MALL_DEFBONUS	Verteidigung +%d%%	SA
TOOLTIP_MALL_DEFBONUS_STATIC	Verteidigung	SNA
TOOLTIP_MALL_EXPBONUS	EXP +%d%%	SA
TOOLTIP_MALL_EXPBONUS_P_STATIC	iCafe EXP-Bonus +%d%%	SA
TOOLTIP_MALL_EXPBONUS_STATIC	50% mehr EXP	SNA
TOOLTIP_MALL_FISH_MIND	Die Chance, einen Fisch zu fangen, ist erhöht.	SNA
TOOLTIP_MALL_GOLDBONUS	Dropchance Yang um %d%% erhöht	SA
TOOLTIP_MALL_GOLDBONUS_STATIC	Doppelte Dropchance Yang	SNA
TOOLTIP_MALL_ITEMBONUS	Dropchance von Gegenständen um %d%% erhöht	SA
TOOLTIP_MALL_ITEMBONUS_P_STATIC	iCafe Chance auf Erbeuten von Gegenständen plus %.1f%%	SA
TOOLTIP_MALL_ITEMBONUS_STATIC	Dropchance von Gegenständen um 200% erhöht.	SNA
TOOLTIP_MALL_MARRIAGE_FAST	Liebespunkte wachsen schneller an.	SNA
